tool,strain,length,flag,position,threshold,cov,n
breakdancer,A_J,22114,TN,37595335,10000,0.5,7
breakdancer,A_J,35326,TN,41489854,1000,0.5,2
breakdancer,A_J,22114,TN,37595335,1000,0.5,7
breakdancer,A_J,40385,TN,50557978,1000,0.5,9
breakdancer,A_J,174239,TN,37624530,1000,1,1
breakdancer,A_J,40338,TN,50557884,1000,1,1
breakdancer,A_J,1260,TN,60642402,1000,1,3
breakdancer,A_J,15120,TN,11577881,1000,1,4
breakdancer,A_J,151083,TN,18699678,1000,1,4
breakdancer,A_J,77853,TN,19985551,1000,1,4
breakdancer,A_J,40434,TN,50557881,1000,1,4
breakdancer,A_J,18689,TN,60000053,1000,1,4
breakdancer,A_J,311815,TN,15527571,1000,1,6
breakdancer,A_J,77751,TN,19985648,1000,1,6
breakdancer,A_J,46789,TN,44171661,1000,1,7
breakdancer,A_J,146345,TN,10808177,1000,1,8
breakdancer,A_J,15106,TN,11577852,1000,1,8
breakdancer,A_J,155624,TN,42783639,1000,1,8
breakdancer,A_J,42315,TN,4346063,100,16,10
breakdancer,A_J,75370,TN,4820147,100,16,10
breakdancer,A_J,29146,TN,5406823,100,16,10
breakdancer,A_J,18753,TN,9483347,100,16,10
breakdancer,A_J,47760,TN,10110572,100,16,10
breakdancer,A_J,5227,TN,10802453,100,16,10
breakdancer,A_J,146486,TN,10808053,100,16,10
breakdancer,A_J,7397,TN,11152203,100,16,10
breakdancer,A_J,15395,TN,11577674,100,16,10
breakdancer,A_J,6631,TN,12815146,100,16,10
breakdancer,A_J,151323,TN,18699566,100,16,10
breakdancer,A_J,91719,TN,19322764,100,16,10
breakdancer,A_J,347310,TN,19416203,100,16,10
breakdancer,A_J,77908,TN,19985499,100,16,10
breakdancer,A_J,11174,TN,20755380,100,16,10
breakdancer,A_J,347093,TN,21534427,100,16,10
breakdancer,A_J,22734,TN,21953471,100,16,10
breakdancer,A_J,18016,TN,22159247,100,16,10
breakdancer,A_J,70738,TN,22651680,100,16,10
breakdancer,A_J,130889,TN,23619809,100,16,10
breakdancer,A_J,135647,TN,24147590,100,16,10
breakdancer,A_J,3491,TN,24283644,100,16,10
breakdancer,A_J,8718,TN,24287492,100,16,10
breakdancer,A_J,22934,TN,24470922,100,16,10
breakdancer,A_J,6888,TN,25203757,100,16,10
breakdancer,A_J,51195,TN,25210852,100,16,10
breakdancer,A_J,296458,TN,25372213,100,16,10
breakdancer,A_J,359391,TN,27133477,100,16,10
breakdancer,A_J,391339,TN,27758164,100,16,10
breakdancer,A_J,52002,TN,28156133,100,16,10
breakdancer,A_J,237099,TN,28242430,100,16,10
breakdancer,A_J,361315,TN,32377040,100,16,10
