<<<<<<< HEAD
,flag,length,position,strain,threshold,tool
0,TN,6055203,0,LP_J,100,sniffles
1,TN,11015759,6056928,LP_J,100,sniffles
2,TN,11015759,6056928,LP_J,100,sniffles
3,TN,11015759,6056928,LP_J,100,sniffles
4,TN,11015759,6056928,LP_J,100,sniffles
5,TN,25758,17072765,LP_J,100,sniffles
6,TN,25758,17072765,LP_J,100,sniffles
7,TN,59206,17231981,LP_J,100,sniffles
8,TN,59206,17231981,LP_J,100,sniffles
9,TN,59206,17231981,LP_J,100,sniffles
10,TN,59206,17231981,LP_J,100,sniffles
11,TN,59206,17231981,LP_J,100,sniffles
12,TN,514514,17291222,LP_J,100,sniffles
13,TN,514514,17291222,LP_J,100,sniffles
14,TN,514514,17291222,LP_J,100,sniffles
15,TN,108929,18086183,LP_J,100,sniffles
16,TN,108929,18086183,LP_J,100,sniffles
17,TN,108929,18086183,LP_J,100,sniffles
18,TN,143424,18253230,LP_J,100,sniffles
19,TN,522881,18397272,LP_J,100,sniffles
20,TN,522881,18397272,LP_J,100,sniffles
21,TN,522881,18397272,LP_J,100,sniffles
22,TN,522881,18397272,LP_J,100,sniffles
23,TN,2164,18924303,LP_J,100,sniffles
24,TN,264080,19795044,LP_J,100,sniffles
25,TN,264080,19795044,LP_J,100,sniffles
26,TN,264080,19795044,LP_J,100,sniffles
27,TN,264080,19795044,LP_J,100,sniffles
28,TN,264080,19795044,LP_J,100,sniffles
29,TN,143880,20144372,LP_J,100,sniffles
30,TN,409125,20425079,LP_J,100,sniffles
31,TN,614316,20834241,LP_J,100,sniffles
32,TN,24683,21449705,LP_J,100,sniffles
33,TN,58049,21474494,LP_J,100,sniffles
34,TN,58049,21474494,LP_J,100,sniffles
35,TN,58049,21474494,LP_J,100,sniffles
36,TN,58049,21474494,LP_J,100,sniffles
37,TN,240091,21534427,LP_J,100,sniffles
38,TN,240091,21534427,LP_J,100,sniffles
39,TN,240091,21534427,LP_J,100,sniffles
40,TN,254254,21881840,LP_J,100,sniffles
