TP,FP,FN,TN,Sensitivity,PPV,Specificity,Fscore,Name
0,1,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.0.1p.5_sorted
0,9,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.0.5p.10_sorted
0,12,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.0.5p.1_sorted
0,12,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.0.5p.2_sorted
0,11,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.0.5p.3_sorted
0,10,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.0.5p.4_sorted
0,9,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.0.5p.5_sorted
0,7,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.0.5p.6_sorted
0,9,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.0.5p.7_sorted
0,9,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.0.5p.8_sorted
0,1,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.05p.8_sorted
0,15,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.0.5p.9_sorted
0,290,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.10p.10_sorted
0,275,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.10p.1_sorted
0,297,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.10p.2_sorted
0,276,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.10p.3_sorted
0,282,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.10p.4_sorted
0,286,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.10p.5_sorted
0,284,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.10p.6_sorted
0,281,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.10p.7_sorted
0,274,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.10p.8_sorted
0,298,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.10p.9_sorted
0,338,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.16p.10_sorted
0,333,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.16p.1_sorted
0,340,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.16p.2_sorted
0,341,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.16p.3_sorted
0,345,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.16p.4_sorted
0,349,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.16p.5_sorted
0,348,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.16p.6_sorted
0,348,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.16p.7_sorted
0,342,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.16p.8_sorted
0,334,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.16p.9_sorted
0,19,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.1p.10_sorted
0,32,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.1p.1_sorted
0,24,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.1p.2_sorted
0,32,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.1p.3_sorted
0,40,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.1p.4_sorted
0,38,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.1p.5_sorted
0,27,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.1p.6_sorted
0,30,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.1p.7_sorted
0,35,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.1p.8_sorted
0,19,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.1p.9_sorted
0,78,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.2p.10_sorted
0,91,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.2p.1_sorted
0,76,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.2p.2_sorted
0,85,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.2p.3_sorted
0,86,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.2p.4_sorted
0,91,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.2p.5_sorted
0,90,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.2p.6_sorted
0,88,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.2p.7_sorted
0,99,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.2p.8_sorted
0,87,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.2p.9_sorted
0,479,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.32p.10_sorted
0,486,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.32p.1_sorted
0,466,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.32p.2_sorted
0,475,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.32p.3_sorted
0,474,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.32p.4_sorted
0,446,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.32p.5_sorted
0,457,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.32p.6_sorted
0,469,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.32p.7_sorted
0,479,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.32p.8_sorted
0,487,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.32p.9_sorted
0,165,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.4p.10_sorted
0,166,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.4p.1_sorted
0,162,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.4p.2_sorted
0,174,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.4p.3_sorted
0,166,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.4p.4_sorted
0,180,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.4p.5_sorted
0,177,533,0,0.00,0.00,0.00,0.00,0t.breakdancer.A_J.chr19.4p.6_sorted
