,tool,strain,length,flag,position,threshold
0,sniffles,LP_J,6055203,TN,0,100
1,sniffles,LP_J,11015759,TN,6056928,100
2,sniffles,LP_J,11015759,TN,6056928,100
3,sniffles,LP_J,11015759,TN,6056928,100
4,sniffles,LP_J,11015759,TN,6056928,100
5,sniffles,LP_J,25758,TN,17072765,100
6,sniffles,LP_J,25758,TN,17072765,100
7,sniffles,LP_J,59206,TN,17231981,100
8,sniffles,LP_J,59206,TN,17231981,100
9,sniffles,LP_J,59206,TN,17231981,100
10,sniffles,LP_J,59206,TN,17231981,100
11,sniffles,LP_J,59206,TN,17231981,100
12,sniffles,LP_J,514514,TN,17291222,100
13,sniffles,LP_J,514514,TN,17291222,100
14,sniffles,LP_J,514514,TN,17291222,100
15,sniffles,LP_J,108929,TN,18086183,100
16,sniffles,LP_J,108929,TN,18086183,100
17,sniffles,LP_J,108929,TN,18086183,100
18,sniffles,LP_J,143424,TN,18253230,100
19,sniffles,LP_J,522881,TN,18397272,100
20,sniffles,LP_J,522881,TN,18397272,100
21,sniffles,LP_J,522881,TN,18397272,100
22,sniffles,LP_J,522881,TN,18397272,100
23,sniffles,LP_J,2164,TN,18924303,100
24,sniffles,LP_J,264080,TN,19795044,100
25,sniffles,LP_J,264080,TN,19795044,100
26,sniffles,LP_J,264080,TN,19795044,100
27,sniffles,LP_J,264080,TN,19795044,100
28,sniffles,LP_J,264080,TN,19795044,100
29,sniffles,LP_J,143880,TN,20144372,100
30,sniffles,LP_J,409125,TN,20425079,100
31,sniffles,LP_J,614316,TN,20834241,100
32,sniffles,LP_J,24683,TN,21449705,100
33,sniffles,LP_J,58049,TN,21474494,100
34,sniffles,LP_J,58049,TN,21474494,100
35,sniffles,LP_J,58049,TN,21474494,100
36,sniffles,LP_J,58049,TN,21474494,100
37,sniffles,LP_J,240091,TN,21534427,100
38,sniffles,LP_J,240091,TN,21534427,100
39,sniffles,LP_J,240091,TN,21534427,100
40,sniffles,LP_J,254254,TN,21881840,100
41,sniffles,LP_J,254254,TN,21881840,100
42,sniffles,LP_J,254254,TN,21881840,100
