,tool,strain,length,flag,position,threshold
0,sniffles,LP_J,6055203,TN,0,10000
1,sniffles,LP_J,11015759,TN,6056928,10000
2,sniffles,LP_J,11015759,TN,6056928,10000
3,sniffles,LP_J,11015759,TN,6056928,10000
4,sniffles,LP_J,11015759,TN,6056928,10000
5,sniffles,LP_J,25758,TN,17072765,10000
6,sniffles,LP_J,25758,TN,17072765,10000
7,sniffles,LP_J,59206,TN,17231981,10000
8,sniffles,LP_J,59206,TN,17231981,10000
9,sniffles,LP_J,59206,TN,17231981,10000
10,sniffles,LP_J,59206,TN,17231981,10000
11,sniffles,LP_J,59206,TN,17231981,10000
12,sniffles,LP_J,514514,TN,17291222,10000
13,sniffles,LP_J,514514,TN,17291222,10000
14,sniffles,LP_J,514514,TN,17291222,10000
15,sniffles,LP_J,108929,TN,18086183,10000
16,sniffles,LP_J,108929,TN,18086183,10000
17,sniffles,LP_J,108929,TN,18086183,10000
18,sniffles,LP_J,143424,TN,18253230,10000
19,sniffles,LP_J,522881,TN,18397272,10000
20,sniffles,LP_J,522881,TN,18397272,10000
21,sniffles,LP_J,522881,TN,18397272,10000
22,sniffles,LP_J,522881,TN,18397272,10000
23,sniffles,LP_J,2164,TN,18924303,10000
24,sniffles,LP_J,868204,TN,18926808,10000
25,sniffles,LP_J,264080,TN,19795044,10000
26,sniffles,LP_J,264080,TN,19795044,10000
27,sniffles,LP_J,264080,TN,19795044,10000
28,sniffles,LP_J,264080,TN,19795044,10000
29,sniffles,LP_J,264080,TN,19795044,10000
30,sniffles,LP_J,37527,TN,20102302,10000
31,sniffles,LP_J,143880,TN,20144372,10000
32,sniffles,LP_J,409125,TN,20425079,10000
33,sniffles,LP_J,614316,TN,20834241,10000
34,sniffles,LP_J,24683,TN,21449705,10000
35,sniffles,LP_J,58049,TN,21474494,10000
36,sniffles,LP_J,58049,TN,21474494,10000
37,sniffles,LP_J,58049,TN,21474494,10000
38,sniffles,LP_J,58049,TN,21474494,10000
39,sniffles,LP_J,240091,TN,21534427,10000
40,sniffles,LP_J,240091,TN,21534427,10000
41,sniffles,LP_J,240091,TN,21534427,10000
42,sniffles,LP_J,254254,TN,21881840,10000
43,sniffles,LP_J,254254,TN,21881840,10000
44,sniffles,LP_J,254254,TN,21881840,10000
45,sniffles,LP_J,254254,TN,21881840,10000
46,sniffles,LP_J,254254,TN,21881840,10000
47,sniffles,LP_J,199843,TN,22136596,10000
48,sniffles,LP_J,199843,TN,22136596,10000
49,sniffles,LP_J,69668,TN,22336470,10000
50,sniffles,LP_J,21785,TN,22409688,10000
51,sniffles,LP_J,28641,TN,22431541,10000
52,sniffles,LP_J,183811,TN,22460433,10000
53,sniffles,LP_J,183811,TN,22460433,10000
54,sniffles,LP_J,261746,TN,22797608,10000
55,sniffles,LP_J,149268,TN,23059703,10000
56,sniffles,LP_J,2169742,TN,23218404,10000
57,sniffles,LP_J,2169742,TN,23218404,10000
58,sniffles,LP_J,2169742,TN,23218404,10000
59,sniffles,LP_J,2169742,TN,23218404,10000
60,sniffles,LP_J,2169742,TN,23218404,10000
61,sniffles,LP_J,2169742,TN,23218404,10000
62,sniffles,LP_J,257394,TN,25674590,10000
63,sniffles,LP_J,257394,TN,25674590,10000
64,sniffles,LP_J,257394,TN,25674590,10000
65,sniffles,LP_J,257394,TN,25674590,10000
66,sniffles,LP_J,257394,TN,25674590,10000
67,sniffles,LP_J,337217,TN,25932693,10000
68,sniffles,LP_J,19855,TN,26270409,10000
69,sniffles,LP_J,1202196,TN,26290641,10000
70,sniffles,LP_J,1202196,TN,26290641,10000
71,sniffles,LP_J,1202196,TN,26290641,10000
72,sniffles,LP_J,253612,TN,27497767,10000
73,sniffles,LP_J,153360,TN,28685415,10000
74,sniffles,LP_J,40409,TN,28848778,10000
75,sniffles,LP_J,783667,TN,29442404,10000
76,sniffles,LP_J,783667,TN,29442404,10000
77,sniffles,LP_J,783667,TN,29442404,10000
78,sniffles,LP_J,371129,TN,30226321,10000
79,sniffles,LP_J,30826,TN,30597646,10000
80,sniffles,LP_J,24733,TN,30630098,10000
81,sniffles,LP_J,24733,TN,30630098,10000
82,sniffles,LP_J,301390,TN,30662256,10000
83,sniffles,LP_J,301390,TN,30662256,10000
84,sniffles,LP_J,301390,TN,30662256,10000
85,sniffles,LP_J,461497,TN,30967825,10000
86,sniffles,LP_J,461497,TN,30967825,10000
87,sniffles,LP_J,104373,TN,31429786,10000
88,sniffles,LP_J,100785,TN,31836364,10000
89,sniffles,LP_J,100785,TN,31836364,10000
90,sniffles,LP_J,100785,TN,31836364,10000
91,sniffles,LP_J,100785,TN,31836364,10000
92,sniffles,LP_J,53620,TN,31943809,10000
93,sniffles,LP_J,205225,TN,31997953,10000
94,sniffles,LP_J,205225,TN,31997953,10000
95,sniffles,LP_J,167267,TN,32209571,10000
96,sniffles,LP_J,64824,TN,32377039,10000
97,sniffles,LP_J,4313598,TN,32448960,10000
98,sniffles,LP_J,4313598,TN,32448960,10000
99,sniffles,LP_J,4313598,TN,32448960,10000
100,sniffles,LP_J,39611,TN,36763335,10000
101,sniffles,LP_J,678028,TN,36803144,10000
102,sniffles,LP_J,678028,TN,36803144,10000
103,sniffles,LP_J,136094,TN,37481342,10000
104,sniffles,LP_J,136094,TN,37481342,10000
105,sniffles,LP_J,454480,TN,37624486,10000
106,sniffles,LP_J,454480,TN,37624486,10000
107,sniffles,LP_J,454480,TN,37624486,10000
108,sniffles,LP_J,454480,TN,37624486,10000
109,sniffles,LP_J,454480,TN,37624486,10000
110,sniffles,LP_J,454480,TN,37624486,10000
111,sniffles,LP_J,454480,TN,37624486,10000
112,sniffles,LP_J,454480,TN,37624486,10000
113,sniffles,LP_J,454480,TN,37624486,10000
114,sniffles,LP_J,454480,TN,37624486,10000
115,sniffles,LP_J,294713,TN,38080308,10000
116,sniffles,LP_J,294713,TN,38080308,10000
117,sniffles,LP_J,42842,TN,38382084,10000
118,sniffles,LP_J,523436,TN,38428812,10000
119,sniffles,LP_J,523436,TN,38428812,10000
120,sniffles,LP_J,523436,TN,38428812,10000
121,sniffles,LP_J,523436,TN,38428812,10000
122,sniffles,LP_J,35989,TN,38952334,10000
123,sniffles,LP_J,423913,TN,38988530,10000
124,sniffles,LP_J,423913,TN,38988530,10000
125,sniffles,LP_J,423913,TN,38988530,10000
126,sniffles,LP_J,423913,TN,38988530,10000
127,sniffles,LP_J,423913,TN,38988530,10000
128,sniffles,LP_J,423913,TN,38988530,10000
129,sniffles,LP_J,423913,TN,38988530,10000
130,sniffles,LP_J,423913,TN,38988530,10000
131,sniffles,LP_J,423913,TN,38988530,10000
132,sniffles,LP_J,423913,TN,38988530,10000
133,sniffles,LP_J,53217,TN,39419823,10000
134,sniffles,LP_J,478208,TN,39473081,10000
135,sniffles,LP_J,478208,TN,39473081,10000
136,sniffles,LP_J,478208,TN,39473081,10000
137,sniffles,LP_J,478208,TN,39473081,10000
138,sniffles,LP_J,478208,TN,39473081,10000
139,sniffles,LP_J,478208,TN,39473081,10000
140,sniffles,LP_J,478208,TN,39473081,10000
141,sniffles,LP_J,478208,TN,39473081,10000
142,sniffles,LP_J,478208,TN,39473081,10000
143,sniffles,LP_J,971688,TN,39951340,10000
144,sniffles,LP_J,971688,TN,39951340,10000
145,sniffles,LP_J,971688,TN,39951340,10000
146,sniffles,LP_J,971688,TN,39951340,10000
147,sniffles,LP_J,971688,TN,39951340,10000
148,sniffles,LP_J,971688,TN,39951340,10000
149,sniffles,LP_J,971688,TN,39951340,10000
150,sniffles,LP_J,971688,TN,39951340,10000
151,sniffles,LP_J,971688,TN,39951340,10000
152,sniffles,LP_J,971688,TN,39951340,10000
153,sniffles,LP_J,971688,TN,39951340,10000
154,sniffles,LP_J,971688,TN,39951340,10000
155,sniffles,LP_J,971688,TN,39951340,10000
156,sniffles,LP_J,971688,TN,39951340,10000
157,sniffles,LP_J,971688,TN,39951340,10000
158,sniffles,LP_J,971688,TN,39951340,10000
159,sniffles,LP_J,11645,TN,40923240,10000
160,sniffles,LP_J,11645,TN,40923240,10000
161,sniffles,LP_J,52304,TN,41472962,10000
162,sniffles,LP_J,409466,TN,41526971,10000
163,sniffles,LP_J,409466,TN,41526971,10000
164,sniffles,LP_J,409466,TN,41526971,10000
165,sniffles,LP_J,409466,TN,41526971,10000
166,sniffles,LP_J,175825,TN,41936627,10000
167,sniffles,LP_J,175825,TN,41936627,10000
168,sniffles,LP_J,175825,TN,41936627,10000
169,sniffles,LP_J,175825,TN,41936627,10000
170,sniffles,LP_J,175825,TN,41936627,10000
171,sniffles,LP_J,350901,TN,42112522,10000
172,sniffles,LP_J,350901,TN,42112522,10000
173,sniffles,LP_J,350901,TN,42112522,10000
174,sniffles,LP_J,309128,TN,42463708,10000
175,sniffles,LP_J,309128,TN,42463708,10000
176,sniffles,LP_J,309128,TN,42463708,10000
177,sniffles,LP_J,309128,TN,42463708,10000
178,sniffles,LP_J,121915,TN,42817521,10000
