tool,threshold,strain,nTP,nFP,nTN,n_true,nFN,sensitivity,precision,specificity,f-score,len
clever,100,AKR_J,27.0,4701.0,0.0,47,20.0,0.5744680951063831,0.005710669898465079,1e-08,0.011308929938772949,50_100
delly,100,AKR_J,17.0,56.0,0.0,47,30.0,0.3617021376595745,0.2328767222968662,1e-08,0.2833333490138889,50_100
gridss,100,AKR_J,18.0,68.0,0.0,47,29.0,0.3829787334042553,0.20930233555705788,1e-08,0.27067670799875626,50_100
indelminer,100,AKR_J,7.0,34.0,0.0,47,40.0,0.14893618021276595,0.1707317172754313,1e-08,0.15909092414256212,50_100
lumpexpress,100,AKR_J,15.0,34.0,0.0,47,32.0,0.3191489461702128,0.3061224589171179,1e-08,0.31250001497395835,50_100
mistrvar,100,AKR_J,16.0,83.0,0.0,47,31.0,0.3404255419148936,0.16161617159983674,1e-08,0.21917809907956465,50_100
pindel,100,AKR_J,27.0,7279.0,0.0,47,20.0,0.5744680951063831,0.003695602663559136,1e-08,0.007343970867393841,50_100
smoove,100,AKR_J,14.0,29.0,0.0,47,33.0,0.2978723504255319,0.32558140527312057,1e-08,0.3111111261061729,50_100
sniffles,100,AKR_J,4.0,6.0,0.0,47,43.0,0.0851063929787234,0.4000000096,1e-08,0.14035089848876545,50_100
breakdancer,100,AKR_J,0.0,0.0,0.0,47,47.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
gasv,100,AKR_J,0.0,218.0,0.0,47,47.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
BioGraph*,100,AKR_J,0.0,0.0,0.0,47,47.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
clever,100,A_J,24.0,39.0,0.0,52,28.0,0.4615384715384616,0.3809523908919123,1e-08,0.4173913194487713,50_100
delly,100,A_J,18.0,56.0,0.0,52,34.0,0.3461538561538461,0.2432432532103725,1e-08,0.285714301148904,50_100
gridss,100,A_J,17.0,74.0,0.0,52,35.0,0.3269230869230769,0.1868131967926579,1e-08,0.2377622538613135,50_100
indelminer,100,A_J,5.0,24.0,0.0,52,47.0,0.09615385615384617,0.17241380304399526,1e-08,0.12345680631763455,50_100
lumpexpress,100,A_J,15.0,29.0,0.0,52,37.0,0.28846154846153843,0.3409091008316116,1e-08,0.3125000150716146,50_100
mistrvar,100,A_J,27.0,86.0,0.0,52,25.0,0.5192307792307693,0.2389380630762002,1e-08,0.3272727443030303,50_100
pindel,100,A_J,32.0,8163.0,0.0,52,20.0,0.6153846253846155,0.003904830012197797,1e-08,0.0077604273444391685,50_100
smoove,100,A_J,15.0,25.0,0.0,52,37.0,0.28846154846153843,0.37500000990625004,1e-08,0.3260869717414934,50_100
sniffles,100,A_J,3.0,10.0,0.0,52,49.0,0.0576923176923077,0.230769240591716,1e-08,0.09230771269349074,50_100
breakdancer,100,A_J,0.0,0.0,0.0,52,52.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
gasv,100,A_J,0.0,157.0,0.0,52,52.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
BioGraph*,100,A_J,0.0,0.0,0.0,52,52.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
clever,100,C3H_HeJ,31.0,151.0,0.0,43,12.0,0.7209302425581395,0.17032968032031154,1e-08,0.2755555762680492,50_100
delly,100,C3H_HeJ,12.0,65.0,0.0,43,31.0,0.2790697774418605,0.15584416582391636,1e-08,0.2000000161875,50_100
gridss,100,C3H_HeJ,17.0,91.0,0.0,43,26.0,0.3953488472093023,0.15740741739283265,1e-08,0.22516558067847892,50_100
indelminer,100,C3H_HeJ,4.0,27.0,0.0,43,39.0,0.09302326581395348,0.1290322680228928,1e-08,0.10810812348794756,50_100
